ID,VALUE
Week_EXT_hot_#1,
Week_EXT_hot_#2,
Week_EXT_hot_#3,
Week_EXT_hot_#4,
Week_EXT_cool_#1,
Week_EXT_cool_#2,
Week_EXT_cool_#3,
Week_EXT_cool_#4,
Week_IN_hot_#1,
Week_IN_hot_#2,
Week_IN_hot_#3,
Week_IN_hot_#4,
Week_IN_cool_#1,
Week_IN_cool_#2,
Week_IN_cool_#3,
Week_IN_cool_#4,
Day_EXT_hot_#1,
Day_EXT_hot_#2,
Day_EXT_hot_#3,
Day_EXT_hot_#4,
Day_EXT_hot_#5,
Day_EXT_hot_#6,
Day_EXT_hot_#7,
Day_EXT_cool_#1,
Day_EXT_cool_#2,
Day_EXT_cool_#3,
Day_EXT_cool_#4,
Day_EXT_cool_#5,
Day_EXT_cool_#6,
Day_EXT_cool_#7,
Day_IN_hot_#1,
Day_IN_hot_#2,
Day_IN_hot_#3,
Day_IN_hot_#4,
Day_IN_hot_#5,
Day_IN_hot_#6,
Day_IN_hot_#7,
Day_IN_cool_#1,
Day_IN_cool_#2,
Day_IN_cool_#3,
Day_IN_cool_#4,
Day_IN_cool_#5,
Day_IN_cool_#6,
Day_IN_cool_#7,
